DemVotes,RepVotes,TotalVotes,DemVotesTotalPercent,RepVotesTotalPercent,Area,Office,State
16683,46755,72007,23.1685808,64.9311872,CANYON,President,Idaho
271,2275,3035,8.9291598,74.9588138,CARIBOU,President,Idaho
1036,5949,8178,12.668134,72.7439472,CASSIA,President,Idaho
44,203,283,15.5477032,71.7314488,CLARK,President,Idaho
704,2852,3801,18.5214417,75.0328861,CLEARWATER,President,Idaho
427,1777,2413,17.6958143,73.6427683,CUSTER,President,Idaho
1814,5816,8519,21.2935791,68.2709238,ELMORE,President,Idaho
385,3901,5499,7.001273,70.9401709,FRANKLIN,President,Idaho
651,4091,5714,11.3930697,71.5960798,FREMONT,President,Idaho
1229,5980,7952,15.4552314,75.2012072,GEM,President,Idaho
930,3743,5191,17.9156232,72.1055673,GOODING,President,Idaho
1196,6441,8223,14.5445701,78.329077,IDAHO,President,Idaho
976,8436,11471,8.5084125,73.5419754,JEFFERSON,President,Idaho
2117,7347,10667,19.8462548,68.8759726,JEROME,President,Idaho
16264,44449,66286,24.5361011,67.056392,KOOTENAI,President,Idaho
8093,7255,18146,44.5993607,39.9812631,LATAH,President,Idaho
733,3011,4068,18.0186824,74.0167158,LEMHI,President,Idaho
270,1202,1590,16.9811321,75.5974843,LEWIS,President,Idaho
360,1184,1748,20.5949657,67.7345538,LINCOLN,President,Idaho
1201,8941,15687,7.6560209,56.9962389,MADISON,President,Idaho
1167,4887,6870,16.9868996,71.1353712,MINIDOKA,President,Idaho
4828,10699,17195,28.0779296,62.221576,NEZ PERCE,President,Idaho
184,1531,2068,8.8974855,74.032882,ONEIDA,President,Idaho
591,3052,3920,15.0765306,77.8571429,OWYHEE,President,Idaho
892,4306,5703,15.6408908,75.5041206,PAYETTE,President,Idaho
699,1666,2758,25.3444525,60.4060914,POWER,President,Idaho
1384,3297,5120,27.03125,64.3945313,SHOSHONE,President,Idaho
2157,2161,4966,43.4353605,43.5159082,TETON,President,Idaho
6844,21063,31893,21.4592544,66.0427053,TWIN FALLS,President,Idaho
1913,2906,5349,35.7636941,54.3279118,VALLEY,President,Idaho
776,3283,4454,17.4225415,73.7090256,WASHINGTON,President,Idaho
7633,22732,31770,24.0258105,71.5517784,ADAMS,President,Illinois
1262,1496,2820,44.751773,53.0496454,ALEXANDER,President,Illinois
2066,4884,7462,27.6869472,65.4516215,BOND,President,Illinois
8952,12261,22604,39.60361,54.2426119,BOONE,President,Illinois
475,1776,2336,20.3339041,76.0273973,BROWN,President,Illinois
6010,9264,16303,36.8643808,56.8238974,BUREAU,President,Illinois
739,1719,2556,28.9123631,67.2535211,CALHOUN,President,Illinois
2437,4428,7354,33.1384281,60.2121295,CARROLL,President,Illinois
1617,3216,5054,31.9944598,63.6327661,CASS,President,Illinois
49694,33235,89196,55.7132607,37.2606395,CHAMPAIGN,President,Illinois
3982,10522,15310,26.0091444,68.7263227,CHRISTIAN,President,Illinois
1873,5620,7819,23.9544699,71.876199,CLARK,President,Illinois
1014,5009,6278,16.1516406,79.7865562,CLAY,President,Illinois
3939,12394,17268,22.8109798,71.7743804,CLINTON,President,Illinois
7285,12985,21580,33.7581094,60.1714551,COLES,President,Illinois
1528582,440213,2055215,74.3757709,21.4193162,COOK,President,Illinois
1969,6146,8507,23.1456448,72.2463853,CRAWFORD,President,Illinois
1028,4200,5513,18.6468348,76.1835661,CUMBERLAND,President,Illinois
20348,19051,42605,47.7596526,44.715409,DEKALB,President,Illinois
1907,5072,7469,25.5321998,67.9073504,DE WITT,President,Illinois
1946,5695,8089,24.0573618,70.4042527,DOUGLAS,President,Illinois
222499,164355,412929,53.8831131,39.802242,DUPAGE,President,Illinois
1778,5634,7783,22.8446614,72.3885391,EDGAR,President,Illinois
432,2777,3312,13.0434783,83.8466184,EDWARDS,President,Illinois
3071,13613,17428,17.6210695,78.109938,EFFINGHAM,President,Illinois
1814,7363,9515,19.0646348,77.3830793,FAYETTE,President,Illinois
1410,4474,6289,22.4200986,71.1400859,FORD,President,Illinois
4711,13101,18533,25.4195219,70.6901203,FRANKLIN,President,Illinois
6118,8482,15609,39.195336,54.3404446,FULTON,President,Illinois
