"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Kentucky","20151103","N/A","BOYLE","County","3,968","Bevin, Matt G.","Challenger","2,948","Conway, Jack","Challenger","Independent","336","Curtis, Drew","Challenger","N/A","1,020","R",4.63,57.37,42.63,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BRACKEN","County","854","Bevin, Matt G.","Challenger","680","Conway, Jack","Challenger","Independent","54","Curtis, Drew","Challenger","N/A","174","R",3.4,55.67,44.33,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BREATHITT","County","1,313","Bevin, Matt G.","Challenger","1,208","Conway, Jack","Challenger","Independent","115","Curtis, Drew","Challenger","N/A","105","R",4.36,52.08,47.92,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BRECKINRIDGE","County","2,648","Bevin, Matt G.","Challenger","1,858","Conway, Jack","Challenger","Independent","158","Curtis, Drew","Challenger","N/A","790","R",3.39,58.77,41.23,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BULLITT","County","9,856","Bevin, Matt G.","Challenger","6,492","Conway, Jack","Challenger","Independent","686","Curtis, Drew","Challenger","4","3,364","R",4.03,60.29,39.71,"The other vote was: Whyte, Blackii Effing (Write-in) 4; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 4; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","BUTLER","County","1,786","Bevin, Matt G.","Challenger","807","Conway, Jack","Challenger","Independent","63","Curtis, Drew","Challenger","N/A","979","R",2.37,68.88,31.12,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CALDWELL","County","1,838","Bevin, Matt G.","Challenger","1,180","Conway, Jack","Challenger","Independent","99","Curtis, Drew","Challenger","N/A","658","R",3.18,60.9,39.1,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CALLOWAY","County","4,742","Bevin, Matt G.","Challenger","3,558","Conway, Jack","Challenger","Independent","254","Curtis, Drew","Challenger","N/A","1,184","R",2.97,57.13,42.87,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CAMPBELL","County","10,671","Bevin, Matt G.","Challenger","8,258","Conway, Jack","Challenger","Independent","779","Curtis, Drew","Challenger","1","2,413","R",3.95,56.37,43.63,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CARLISLE","County","899","Bevin, Matt G.","Challenger","561","Conway, Jack","Challenger","Independent","22","Curtis, Drew","Challenger","N/A","338","R",1.48,61.58,38.42,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CARROLL","County","867","Bevin, Matt G.","Challenger","923","Conway, Jack","Challenger","Independent","70","Curtis, Drew","Challenger","N/A","56","D",3.76,48.44,51.56,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CARTER","County","2,405","Bevin, Matt G.","Challenger","1,954","Conway, Jack","Challenger","Independent","126","Curtis, Drew","Challenger","N/A","451","R",2.81,55.17,44.83,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CASEY","County","2,836","Bevin, Matt G.","Challenger","649","Conway, Jack","Challenger","Independent","91","Curtis, Drew","Challenger","2","2,187","R",2.54,81.38,18.62,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CHRISTIAN","County","4,830","Bevin, Matt G.","Challenger","3,446","Conway, Jack","Challenger","Independent","211","Curtis, Drew","Challenger","N/A","1,384","R",2.49,58.36,41.64,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CLARK","County","4,551","Bevin, Matt G.","Challenger","3,448","Conway, Jack","Challenger","Independent","344","Curtis, Drew","Challenger","3","1,103","R",4.12,56.89,43.11,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CLAY","County","2,311","Bevin, Matt G.","Challenger","866","Conway, Jack","Challenger","Independent","73","Curtis, Drew","Challenger","1","1,445","R",2.25,72.74,27.26,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CLINTON","County","1,531","Bevin, Matt G.","Challenger","444","Conway, Jack","Challenger","Independent","30","Curtis, Drew","Challenger","N/A","1,087","R",1.5,77.52,22.48,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CRITTENDEN","County","1,450","Bevin, Matt G.","Challenger","705","Conway, Jack","Challenger","Independent","58","Curtis, Drew","Challenger","N/A","745","R",2.62,67.29,32.71,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","CUMBERLAND","County","927","Bevin, Matt G.","Challenger","342","Conway, Jack","Challenger","Independent","38","Curtis, Drew","Challenger","N/A","585","R",2.91,73.05,26.95,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","DAVIESS","County","13,483","Bevin, Matt G.","Challenger","10,366","Conway, Jack","Challenger","Independent","611","Curtis, Drew","Challenger","1","3,117","R",2.5,56.53,43.47,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","EDMONSON","County","1,503","Bevin, Matt G.","Challenger","805","Conway, Jack","Challenger","Independent","77","Curtis, Drew","Challenger","N/A","698","R",3.23,65.12,34.88,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","ELLIOTT","County","495","Bevin, Matt G.","Challenger","706","Conway, Jack","Challenger","Independent","30","Curtis, Drew","Challenger","N/A","211","D",2.44,41.22,58.78,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","ESTILL","County","1,770","Bevin, Matt G.","Challenger","890","Conway, Jack","Challenger","Independent","146","Curtis, Drew","Challenger","5","880","R",5.19,66.54,33.46,"The other vote was: Whyte, Blackii Effing (Write-in) 5; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 5; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","FAYETTE","County","27,788","Bevin, Matt G.","Challenger","38,220","Conway, Jack","Challenger","Independent","3,945","Curtis, Drew","Challenger","7","10,432","D",5.64,42.1,57.9,"The other vote was: Whyte, Blackii Effing (Write-in) 4; Gatewood, Gatewood B. (Write-in) 3",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 4; Gatewood, Gatewood B. (Write-in) 3"
"Governor","Kentucky","20151103","N/A","FLEMING","County","1,907","Bevin, Matt G.","Challenger","1,284","Conway, Jack","Challenger","Independent","117","Curtis, Drew","Challenger","N/A","623","R",3.54,59.76,40.24,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","FLOYD","County","3,390","Bevin, Matt G.","Challenger","4,392","Conway, Jack","Challenger","Independent","282","Curtis, Drew","Challenger","N/A","1,002","D",3.5,43.56,56.44,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","FRANKLIN","County","5,942","Bevin, Matt G.","Challenger","9,839","Conway, Jack","Challenger","Independent","1,098","Curtis, Drew","Challenger","3","3,897","D",6.5,37.65,62.35,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 2",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 2"
"Governor","Kentucky","20151103","N/A","FULTON","County","568","Bevin, Matt G.","Challenger","504","Conway, Jack","Challenger","Independent","32","Curtis, Drew","Challenger","N/A","64","R",2.9,52.99,47.01,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GALLATIN","County","739","Bevin, Matt G.","Challenger","525","Conway, Jack","Challenger","Independent","52","Curtis, Drew","Challenger","N/A","214","R",3.95,58.47,41.53,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GARRARD","County","2,542","Bevin, Matt G.","Challenger","1,158","Conway, Jack","Challenger","Independent","171","Curtis, Drew","Challenger","N/A","1,384","R",4.42,68.7,31.3,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GRANT","County","2,433","Bevin, Matt G.","Challenger","1,326","Conway, Jack","Challenger","Independent","133","Curtis, Drew","Challenger","N/A","1,107","R",3.42,64.72,35.28,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GRAVES","County","5,370","Bevin, Matt G.","Challenger","3,189","Conway, Jack","Challenger","Independent","268","Curtis, Drew","Challenger","1","2,181","R",3.04,62.74,37.26,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 1",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 1"
"Governor","Kentucky","20151103","N/A","GRAYSON","County","3,246","Bevin, Matt G.","Challenger","1,732","Conway, Jack","Challenger","Independent","186","Curtis, Drew","Challenger","N/A","1,514","R",3.6,65.21,34.79,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GREEN","County","2,018","Bevin, Matt G.","Challenger","806","Conway, Jack","Challenger","Independent","73","Curtis, Drew","Challenger","N/A","1,212","R",2.52,71.46,28.54,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","GREENUP","County","4,432","Bevin, Matt G.","Challenger","3,109","Conway, Jack","Challenger","Independent","218","Curtis, Drew","Challenger","N/A","1,323","R",2.81,58.77,41.23,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HANCOCK","County","1,114","Bevin, Matt G.","Challenger","1,064","Conway, Jack","Challenger","Independent","53","Curtis, Drew","Challenger","N/A","50","R",2.38,51.15,48.85,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HARDIN","County","11,586","Bevin, Matt G.","Challenger","8,029","Conway, Jack","Challenger","Independent","815","Curtis, Drew","Challenger","N/A","3,557","R",3.99,59.07,40.93,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HARLAN","County","3,099","Bevin, Matt G.","Challenger","1,671","Conway, Jack","Challenger","Independent","201","Curtis, Drew","Challenger","N/A","1,428","R",4.04,64.97,35.03,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HARRISON","County","2,093","Bevin, Matt G.","Challenger","1,778","Conway, Jack","Challenger","Independent","221","Curtis, Drew","Challenger","N/A","315","R",5.4,54.07,45.93,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HART","County","2,043","Bevin, Matt G.","Challenger","1,379","Conway, Jack","Challenger","Independent","132","Curtis, Drew","Challenger","N/A","664","R",3.71,59.7,40.3,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HENDERSON","County","4,837","Bevin, Matt G.","Challenger","5,117","Conway, Jack","Challenger","Independent","297","Curtis, Drew","Challenger","N/A","280","D",2.9,48.59,51.41,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HENRY","County","2,126","Bevin, Matt G.","Challenger","1,720","Conway, Jack","Challenger","Independent","184","Curtis, Drew","Challenger","N/A","406","R",4.57,55.28,44.72,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HICKMAN","County","771","Bevin, Matt G.","Challenger","458","Conway, Jack","Challenger","Independent","26","Curtis, Drew","Challenger","N/A","313","R",2.07,62.73,37.27,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","HOPKINS","County","5,802","Bevin, Matt G.","Challenger","3,524","Conway, Jack","Challenger","Independent","268","Curtis, Drew","Challenger","N/A","2,278","R",2.79,62.21,37.79,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","JACKSON","County","2,310","Bevin, Matt G.","Challenger","393","Conway, Jack","Challenger","Independent","68","Curtis, Drew","Challenger","3","1,917","R",2.45,85.46,14.54,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","JEFFERSON","County","74,427","Bevin, Matt G.","Challenger","112,232","Conway, Jack","Challenger","Independent","6,302","Curtis, Drew","Challenger","11","37,805","D",3.27,39.87,60.13,"The other vote was: Whyte, Blackii Effing (Write-in) 5; Gatewood, Gatewood B. (Write-in) 6",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 5; Gatewood, Gatewood B. (Write-in) 6"
"Governor","Kentucky","20151103","N/A","JESSAMINE","County","7,581","Bevin, Matt G.","Challenger","4,134","Conway, Jack","Challenger","Independent","526","Curtis, Drew","Challenger","1","3,447","R",4.3,64.71,35.29,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 1",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 1"
"Governor","Kentucky","20151103","N/A","JOHNSON","County","3,040","Bevin, Matt G.","Challenger","1,432","Conway, Jack","Challenger","Independent","177","Curtis, Drew","Challenger","N/A","1,608","R",3.81,67.98,32.02,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","KENTON","County","18,007","Bevin, Matt G.","Challenger","12,301","Conway, Jack","Challenger","Independent","1,145","Curtis, Drew","Challenger","4","5,706","R",3.64,59.41,40.59,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 1",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 1"
"Governor","Kentucky","20151103","N/A","KNOTT","County","1,612","Bevin, Matt G.","Challenger","1,141","Conway, Jack","Challenger","Independent","132","Curtis, Drew","Challenger","N/A","471","R",4.58,58.55,41.45,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","KNOX","County","3,706","Bevin, Matt G.","Challenger","1,634","Conway, Jack","Challenger","Independent","163","Curtis, Drew","Challenger","2","2,072","R",2.96,69.4,30.6,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 2; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","LARUE","County","2,009","Bevin, Matt G.","Challenger","1,214","Conway, Jack","Challenger","Independent","137","Curtis, Drew","Challenger","3","795","R",4.07,62.33,37.67,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 3; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","LAUREL","County","8,781","Bevin, Matt G.","Challenger","2,663","Conway, Jack","Challenger","Independent","345","Curtis, Drew","Challenger","2","6,118","R",2.93,76.73,23.27,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 2",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 2"
"Governor","Kentucky","20151103","N/A","LAWRENCE","County","1,616","Bevin, Matt G.","Challenger","973","Conway, Jack","Challenger","Independent","66","Curtis, Drew","Challenger","1","643","R",2.48,62.42,37.58,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 1; Gatewood, Gatewood B. (Write-in) 0"
"Governor","Kentucky","20151103","N/A","LEE","County","1,042","Bevin, Matt G.","Challenger","422","Conway, Jack","Challenger","Independent","72","Curtis, Drew","Challenger","N/A","620","R",4.69,71.17,28.83,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0",NA,"The other vote was: Whyte, Blackii Effing (Write-in) 0; Gatewood, Gatewood B. (Write-in) 0"
